TenureGroup,用户数,流失率,平均订单数,平均App时长
0-10,2850,0.19789473684210526,2.6715458764726883,3.0210526315789474
11-20,1519,0.06714944042132982,3.6910511363636362,2.923633969716919
21-30,700,0.014285714285714285,3.8240131578947367,2.88
30+,53,0.0,4.040816326530612,3.4150943396226414
